Name,Agency product number,Active substance,International non-proprietary name (INN) or common name,Therapeutic area (MeSH),Anatomical therapeutic chemical (ATC) code,Generic,Marketing-authorisation holder,Revision,Date of issue of marketing authorisation valid throughout the European Union,Contact address,Additional monitoring,Orphan,Conditional approval,Biosimilar,Marketing-autorisation applicant,Date of opinion,Exceptional circumstances,Date of refusal of marketing authorisation,Countries
Xeristar,EMEA/H/C/000573,duloxetine,duloxetine,"Anxiety Disorders
Depressive Disorder, Major
Diabetic Neuropathies",N06AX21,,Eli Lilly Nederland B.V.,26,16/12/2004,"Grootslag 1-5
NL-3991 RA Houten
The Netherlands",,,,,,,,,The Netherlands
Caspofungin Accord,EMEA/H/C/004134,caspofungin acetate,caspofungin,"Candidiasis
Aspergillosis",J02AX04,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Accord Healthcare Ltd,3,10/02/2016,"Sage House
319 Pinner Road
North Harrow HA1 4HF
United Kingdom",,,,,,,,,United Kingdom
Beromun,EMEA/H/C/000206,tasonermin,tasonermin,Sarcoma,L03AX11,,Boehringer Ingelheim International GmbH,11,12/04/1999,"Binger Strasse 173 55216
Ingelheim am Rhein
Germany",,,,,,,,,Germany
Ivabradine JensonR,EMEA/H/C/004217,ivabradine hydrochloride,ivabradine,"Angina Pectoris
Heart Failure",C01EB17,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",JensonR+ Limited,0,10/11/2016,"Fishleigh Court
Fishleigh Road
Barnstaple EX31 3UD
United Kingdom",,,,,,,,,United Kingdom
Granpidam,EMEA/H/C/004289,sildenafil citrate,sildenafil,"Hypertension, Pulmonary",G04BE03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Accord Healthcare Ltd,1,14/11/2016,"Sage House
319 Pinner Road
North Harrow
Middlesex HA1 4HF
United Kingdrom",,,,,,,,,United Kingdom
Yentreve,EMEA/H/C/000545,duloxetine hydrochloride,duloxetine,"Urinary Incontinence, Stress",N06AX21,,Eli Lilly Nederland B.V.,23,11/08/2004,"Papendorpseweg 83
3528 BJ Utrecht
The Netherlands",,,,,,,,,The Netherlands
Relistor,EMEA/H/C/000870,methylnaltrexone bromide,methylnaltrexone bromide,"Opioid-Related Disorders
Constipation",A06AH01,,PharmaSwiss Ceska Republika s.r.o,14,01/07/2008,"Jankovcova 1569/2c
Lighthouse
17000 Prague 7
Czech Republic",,,,,,,,,Czech Republic
Ikervis,EMEA/H/C/002066,ciclosporin,ciclosporin,Corneal Diseases,S01XA18,,Santen Oy,4,18/03/2015,"Niittyhaankatu
20 FI-33720
Tampere
Finland",,,,,,,,,Finland
Ongentys,EMEA/H/C/002790,opicapone,opicapone,Parkinson Disease,N04,,"Bial - Portela Cª, S.A.",1,23/06/2016,"Av. da Siderurgia Nacional S.
Mamede do Coronado 4745-457
Portugal","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Portugal
Entacapone Orion,EMEA/H/C/002440,entacapone,entacapone,Parkinson Disease,N04BX02,,Orion Corporation,7,17/08/2011,"Orionintie 1
FI-02200 Espoo
Finland",,,,,,,,,Finland
Comtess,EMEA/H/C/000170,entacapone,entacapone,Parkinson Disease,N04BX02,,Orion Corporation,25,16/09/1998,"Orionintie 1
FI-02200 Espoo
Finland",,,,,,,,,Finland
Orfadin,EMEA/H/C/000555,nitisinone,nitisinone,Tyrosinemias,A16AX04,,Swedish Orphan Biovitrum International AB,13,20/02/2005,"SE-112 76 Stockholm
Sweden",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Sweden
Ambirix,EMEA/H/C/000426,"hepatitis-A virus (inactivated)
hepatitis-B surface antigen",hepatitis-A (inactivated) and hepatitis-B (rDNA) (HAB) vaccine (adsorbed),"Hepatitis B
Hepatitis A
Immunization",J07BC20,,GlaxoSmithKline Biologicals S.A.,14,29/08/2002,"Rue de l'Institut, 89
B-1330 Rixensart
Belgium",,,,,,,,,Belgium
Budesonide/Formoterol Teva,EMEA/H/C/003951,"budesonide
formoterol fumarate dihydrate",budesonide / formoterol,"Pulmonary Disease, Chronic Obstructive
Asthma",R03AK07,,Teva Pharma B.V.,2,18/11/2014,"Computerweg 10
3542 DR Utrecht
The Netherlands",,,,,,,,,The Netherlands
Budesonide/Formoterol Teva Pharma B.V.,EMEA/H/C/003953,"budesonide
formoterol",budesonide / formoterol fumarate dihydrate,Asthma,R03AK07,,Teva Pharma B.V.,1,18/11/2014,"Computerweg 10
3542 DR Utrecht
The Netherlands",,,,,,,,,The Netherlands
Vylaer Spiromax,EMEA/H/C/003952,"budesonide
formoterol fumarate dihydrate",budesonide / formoterol,"Pulmonary Disease, Chronic Obstructive
Asthma",R03AK07,,Teva Pharma B.V.,3,18/11/2014,"Computerweg 10
3542 DR Utrecht
The Netherlands",,,,,,,,,The Netherlands
Ovitrelle,EMEA/H/C/000320,choriogonadotropin alfa,choriogonadotropin alfa,"Anovulation
Reproductive Techniques, Assisted
Infertility, Female",G03GA08,,Merck Serono Europe Limited,17,01/02/2001,"56 Marsh Wall
London
E14 9TP
United Kingdom",,,,,,,,,United Kingdom
Biograstim,EMEA/H/C/000826,filgrastim,filgrastim,"Neutropenia
Hematopoietic Stem Cell Transplantation
Cancer",L03AA02,,AbZ-Pharma GmbH,8,14/09/2008,"Graf -Arco-Strase 3
99079 Ulm
Germany",,,,"This is a biosimilar medicine, which is a biological medicine highly similar to another already approved biological medicine called the ‘reference medicine’. For more information, see Biosimilar medicines.",,,,,Germany
Competact,EMEA/H/C/000655,"pioglitazone
metformin hydrochloride",pioglitazone / metformin,"Diabetes Mellitus, Type 2",A10BD05,,Takeda Pharma A/S,16,27/07/2006,"Dybendal Alle 10
2630 Taastrup
Denmark",,,,,,,,,Denmark
NovoSeven,EMEA/H/C/000074,eptacog alfa (activated),eptacog alfa (activated),"Hemophilia B
Thrombasthenia
Factor VII Deficiency
Hemophilia A",B02BD08,,Novo Nordisk A/S,31,23/02/1996,"Novo Allé
DK-2880 Bagsværd
Denmark",,,,,,,,,Denmark
ChondroCelect,EMEA/H/C/000878,characterised viable autologous cartilage cells expanded ex vivo expressing specific marker proteins,characterised viable autologous cartilage cells expanded ex vivo expressing specific marker proteins,Cartilage Diseases,M09AX02,,TiGenix N.V.,6,04/10/2009,"Romeinse straat 12/2
B-3001 Leuven
Belgium",,,,,,,,,Belgium
Tandemact,EMEA/H/C/000680,"pioglitazone
glimepiride",pioglitazone / glimepiride,"Diabetes Mellitus, Type 2",A10BD06,,Takeda Pharma A/S,15,07/01/2007,"Dybendal Alle 10
2630 Taastrup
Denmark",,,,,,,,,Denmark
Nonafact,EMEA/H/C/000348,human coagulation factor IX,human coagulation factor IX,Hemophilia B,B02BD04,,Sanquin Plasma Products B.V.,9,02/07/2001,"Plesmanlaan 125
NL-1066 CX Amsterdam
The Netherlands",,,,,,,,,The Netherlands
Mepact,EMEA/H/C/000802,mifamurtide,mifamurtide,Osteosarcoma,L03AX15,,Takeda France SAS,13,06/03/2009,"Immeuble Pacific
11-13 cours Valmy
92800 Puteaux
France",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,France
Kolbam,EMEA/H/C/002081,cholic acid,cholic acid,"Metabolism, Inborn Errors",A05AA03,,Retrophin Europe Ltd,12,19/11/2015,"Palmerston House
Fenian Street
Dublin 2
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,"This medicine was authorised under exceptional circumstances, because the applicant was unable to provide comprehensive data on the efficacy and safety of the medicine under normal conditions of use. This can happen because the condition to be treated is rare or because collection of full information is not possible or is unethical. For more information, see Pre-authorisation guidance.",,Ireland
Capecitabine SUN,EMEA/H/C/002050,capecitabine,capecitabine,"Stomach Neoplasms
Breast Neoplasms
Colonic Neoplasms
Colorectal Neoplasms",L01BC06,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Sun Pharmaceutical Industries Europe B.V.,3,20/06/2013,"Polarisavenue 87
NL-2132 JH Hoofddorp
The Netherlands",,,,,,,,,The Netherlands
Celvapan,EMEA/H/C/000982,"whole virion, inactivated containing antigen: A/California/07/2009 (H1N1)v","influenza vaccine (H1N1)v (whole virion, inactivated, prepared in cell culture)","Disease Outbreaks
Influenza, Human
Immunization",J07BB01,,"Nanotherapeutics Bohumil, s.r.o.",11,03/03/2009,"Bohumill38
28163 Jevany
Czech Republic",,,,,,,,,Czech Republic
Foclivia,EMEA/H/C/001208,"influenza virus surface antigens, inactivated: A/Viet Nam/1194/2004 (H5N1)","pandemic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted)","Influenza, Human
Immunization
Disease Outbreaks",J07BB02,,Seqirus S.r.l. ,5,18/10/2009,"Seqirus S.r.l.
Via Fiorentina 1
I-53100
Siena
Italy",,,,,,,"This medicine was authorised under exceptional circumstances, because the applicant was unable to provide comprehensive data on the efficacy and safety of the medicine under normal conditions of use. This can happen because the condition to be treated is rare or because collection of full information is not possible or is unethical. For more information, see Pre-authorisation guidance.",,Italy
Ebixa,EMEA/H/C/000463,memantine hydrochloride,memantine,Alzheimer Disease,N06DX01,,H. Lundbeck A/S,24,14/05/2002,"Ottiliavej 9
DK-2500 Valby
Denmark",,,,,,,,,Denmark
Mysildecard,EMEA/H/C/004186,sildenafil citrate,sildenafil,"Hypertension, Pulmonary",G04BE03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Mylan S.A.S.,0,14/09/2016,"117 Allée des Parcs
69800 Saint Priest
France",,,,,,,,,France
Portrazza,EMEA/H/C/003886,necitumumab,necitumumab,"Carcinoma, Non-Small-Cell Lung",L01,,Eli Lilly Nederland B.V.,2,14/02/2016,"Papendorpseweg 83
3528 BJ Utrecht
Netherlands","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,The Netherlands
Ribavirin Teva,EMEA/H/C/001018,Ribavirin,ribavirin,"Hepatitis C, Chronic",J05AB04,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Teva B.V.,13,30/03/2009,"Swensweg 5
2031GA Haarlem
The Netherlands",,,,,,,,,The Netherlands
Ibandronic Acid Teva,EMEA/H/C/001195,ibandronic acid,ibandronic acid,"Breast Neoplasms
Neoplasm Metastasis
Fractures, Bone
Osteoporosis, Postmenopausal",M05BA06,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Teva Pharma B.V.,8,16/09/2010,"Computerweg 10
NL-3542 DR Utrecht
The Netherlands",,,,,,,,,The Netherlands
Iasibon,EMEA/H/C/002025,ibandronic acid,ibandronic acid,"Hypercalcemia
Fractures, Bone
Neoplasm Metastasis
Breast Neoplasms",M05BA06,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Pharmathen S.A.,7,20/01/2011,"6, Dervenakion
EL-15351 Pallini Attiki
Greece",,,,,,,,,Greece
Fexeric,EMEA/H/C/003776,ferric citrate coordination complex,ferric citrate coordination complex,"Hyperphosphatemia
Renal Dialysis",V03AE,,Keryx Biopharma UK Ltd,1,22/09/2015,"Riverbank House
2 Swan Lane
London EC4R 3TT
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Pantecta Control,EMEA/H/C/001099,pantoprazole,pantoprazole,Gastroesophageal Reflux,A02BC02,,Takeda GmbH,7,11/06/2009,"Byk-Gulden-Strasse 2
D-78467 Konstanz
Germany",,,,,,,,,Germany
Zerit,EMEA/H/C/000110,stavudine,stavudine,HIV Infections,J05AF04,,Bristol-Myers Squibb Pharma EEIG,30,07/05/1996,"Uxbridge Business Park
Sanderson Road
Uxbridge UB8 1DH
United Kingdom",,,,,,,,,United Kingdom
Scintimun,EMEA/H/C/001045,besilesomab,besilesomab,"Osteomyelitis
Radionuclide Imaging",V09HA03,,CIS bio international ,5,10/01/2010,"CIS bio international
Route Nationale 306, BP 32
F-91192 Gif-sur-Yvette
Cedex
France",,,,,,,,,France
Ifirmasta (previously Irbesartan Krka),EMEA/H/C/000962,irbesartan hydrochloride,irbesartan,Hypertension,C09CA04,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.","Krka, d.d., Novo mesto",8,30/11/2008,"Šmarješka cesta 6
8501 Novo mesto
Slovenia",,,,,,,,,Slovenia
Ibandronic Acid Sandoz,EMEA/H/C/002367,ibandronic acid,ibandronic acid,"Breast Neoplasms
Neoplasm Metastasis
Fractures, Bone",M05BA06,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Sandoz GmbH,7,25/07/2011,"Biochemiestrasse 10
6250 Kundl
Austria",,,,,,,,,Austria
Irbesartan Teva,EMEA/H/C/001093,irbesartan,irbesartan,Hypertension,C09CA04,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Teva B.V.,9,29/10/2009,"Swensweg 5
2031GA Haarlem
The Netherlands",,,,,,,,,The Netherlands
Protelos,EMEA/H/C/000560,strontium ranelate,strontium ranelate,"Osteoporosis, Postmenopausal",M05BX03,,Les Laboratoires Servier,18,21/09/2004,"Les laboratoires Servier
50, rue Carnot
F-92284 Suresnes Cedex
France","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,France
